Wall time,Step,Value
1684610706.284392,0,0.0
1684610749.32996,8000,0.0
1684610984.591536,88000,0.0
1684611227.0436943,168000,12.0
1684611468.422532,248000,56.0
1684611709.0221598,328000,91.5
1684611950.6329556,408000,96.0
1684612191.8206382,488000,94.0
1684612433.0545955,568000,98.0
1684612673.6355371,648000,96.0
1684612913.7960634,728000,95.5
1684613154.0364833,808000,96.5
1684613393.969094,888000,93.5
1684613634.0412169,968000,96.0
1684613873.1413937,1048000,93.5
1684614112.3380935,1128000,95.5
1684614352.4688268,1208000,99.0
1684614592.8614087,1288000,96.0
1684614834.036496,1368000,96.0
1684615074.7066891,1448000,98.0
1684615316.1463523,1528000,96.0
1684615557.4132047,1608000,96.0
1684615799.6158621,1688000,98.5
1684616040.1041198,1768000,98.5
1684616281.8927848,1848000,97.0
1684616522.5398836,1928000,99.0
