Wall time,Step,Value
1684546279.180587,0,0.0
1684546321.7847683,8000,0.0
1684546567.9052422,88000,4.5
1684546808.1414025,168000,61.0
1684547044.4679573,248000,93.5
1684547282.2718587,328000,98.5
1684547521.339804,408000,96.5
1684547761.5405047,488000,95.0
1684548003.2430623,568000,95.5
1684548243.8977132,648000,97.0
1684548485.3601673,728000,94.0
1684548726.911904,808000,96.5
1684548969.423645,888000,94.5
1684549212.3581836,968000,98.5
1684549456.2949908,1048000,97.0
1684549698.609821,1128000,96.5
1684549940.762715,1208000,97.0
1684550183.662518,1288000,97.0
1684550427.1147513,1368000,96.5
1684550670.1952133,1448000,97.5
1684550912.775993,1528000,97.5
1684551155.7683756,1608000,93.5
1684551398.683285,1688000,97.5
1684551642.059543,1768000,97.0
1684551884.1783912,1848000,97.0
1684552127.5862796,1928000,97.0
