Wall time,Step,Value
1684558447.8355176,0,0.0
1684558489.9086351,8000,0.0
1684558744.2833908,88000,0.5
1684558996.6873045,168000,6.0
1684559239.426011,248000,63.5
1684559477.2350836,328000,86.5
1684559714.7986147,408000,90.0
1684559952.9800797,488000,95.0
1684560190.4765053,568000,95.0
1684560429.6776001,648000,94.5
1684560668.85282,728000,98.0
1684560908.8465917,808000,96.5
1684561151.1048741,888000,93.5
1684561391.8572862,968000,93.0
1684561639.1528325,1048000,97.0
1684561881.0739813,1128000,98.0
1684562123.607957,1208000,95.5
1684562365.979104,1288000,99.0
1684562608.9203105,1368000,97.5
1684562852.1630383,1448000,97.0
1684563094.5211537,1528000,98.0
1684563337.1023648,1608000,97.0
1684563579.5561726,1688000,98.0
1684563821.7263062,1768000,97.0
1684564064.8300226,1848000,98.0
1684564308.639515,1928000,98.5
