Wall time,Step,Value
1684540194.2278407,0,0.0
1684540236.533946,8000,0.0
1684540486.7515674,88000,1.0
1684540735.5001304,168000,18.0
1684540974.4972959,248000,77.0
1684541211.769492,328000,92.0
1684541450.9170823,408000,95.0
1684541689.882422,488000,94.5
1684541931.6934006,568000,96.0
1684542174.1708472,648000,96.0
1684542416.0420923,728000,95.0
1684542656.4575343,808000,95.5
1684542897.1424372,888000,98.0
1684543139.0862255,968000,97.0
1684543380.757375,1048000,98.0
1684543623.0846133,1128000,97.5
1684543865.9557106,1208000,94.5
1684544107.2672255,1288000,97.0
1684544349.5946567,1368000,96.0
1684544592.1547177,1448000,96.0
1684544834.5778751,1528000,95.0
1684545076.4666631,1608000,96.5
1684545318.5759153,1688000,96.5
1684545561.647938,1768000,98.0
1684545804.4486656,1848000,97.0
1684546047.030086,1928000,96.5
