Wall time,Step,Value
1684564539.993381,0,0.0
1684564579.082449,8000,0.0
1684564815.323588,88000,1.0
1684565055.8046966,168000,25.5
1684565292.3577988,248000,83.5
1684565530.545887,328000,95.5
1684565770.7306387,408000,97.5
1684566011.6980567,488000,96.0
1684566252.3042724,568000,96.0
1684566494.2237144,648000,96.5
1684566736.3850965,728000,96.5
1684566977.9983323,808000,96.0
1684567219.6408362,888000,96.5
1684567461.0585847,968000,97.0
1684567703.2470887,1048000,96.5
1684567945.9025795,1128000,95.5
1684568187.9494894,1208000,97.5
1684568430.6791232,1288000,97.0
1684568673.4659042,1368000,97.5
1684568917.2340748,1448000,96.0
1684569160.1477668,1528000,97.0
1684569402.705402,1608000,98.5
1684569645.8193917,1688000,99.0
1684569887.9462488,1768000,98.5
1684570132.2660794,1848000,92.0
1684570375.263427,1928000,94.5
