Wall time,Step,Value
1684521931.818914,0,0.0
1684521975.980987,8000,0.0
1684522217.1096869,88000,2.5
1684522457.3969429,168000,44.5
1684522695.0314238,248000,87.5
1684522933.873369,328000,96.0
1684523174.7112637,408000,97.5
1684523417.074457,488000,95.5
1684523658.1778479,568000,97.0
1684523900.7131252,648000,95.5
1684524142.4458969,728000,95.0
1684524383.4052384,808000,97.0
1684524623.7086775,888000,98.0
1684524863.5895438,968000,96.5
1684525104.788216,1048000,95.0
1684525349.9551313,1128000,94.0
1684525593.877068,1208000,95.0
1684525835.9573832,1288000,98.5
1684526077.4414093,1368000,98.5
1684526319.964194,1448000,93.5
1684526562.6453362,1528000,94.5
1684526804.1848493,1608000,98.0
1684527046.096018,1688000,97.5
1684527288.9423165,1768000,97.0
1684527533.8169796,1848000,98.5
1684527776.2690475,1928000,99.5
