Wall time,Step,Value
1684570607.2763832,0,0.0
1684570649.5741227,8000,0.5
1684570895.4007106,88000,1.0
1684571140.9918592,168000,20.5
1684571380.9439218,248000,64.0
1684571620.6449354,328000,83.0
1684571860.2418675,408000,88.5
1684572099.5001295,488000,93.5
1684572339.0968375,568000,96.5
1684572580.5421333,648000,94.5
1684572823.512499,728000,98.5
1684573065.2984617,808000,97.5
1684573307.6844897,888000,98.0
1684573550.188465,968000,98.0
1684573792.703236,1048000,98.0
1684574035.5608182,1128000,100.0
1684574279.1743145,1208000,98.0
1684574521.9117136,1288000,96.0
1684574764.0874605,1368000,99.5
1684575006.557199,1448000,96.5
1684575249.5431154,1528000,97.5
1684575491.9115,1608000,99.0
1684575734.1875646,1688000,97.5
1684575976.9852686,1768000,97.0
1684576220.0532942,1848000,99.0
1684576462.4862676,1928000,98.5
