Wall time,Step,Value
1684528008.5346482,0,0.0
1684528050.6528444,8000,0.0
1684528295.0974467,88000,1.5
1684528538.0069234,168000,40.0
1684528775.7778,248000,87.5
1684529015.1291647,328000,91.5
1684529257.4328365,408000,93.5
1684529497.42325,488000,98.0
1684529739.6091387,568000,95.5
1684529983.1675775,648000,96.5
1684530225.999115,728000,94.5
1684530469.0499694,808000,96.0
1684530711.8870573,888000,97.0
1684530954.7810576,968000,95.0
1684531198.2202373,1048000,94.5
1684531441.1718428,1128000,95.0
1684531684.4463336,1208000,97.5
1684531927.6215742,1288000,98.0
1684532170.3348372,1368000,98.0
1684532414.2396386,1448000,99.5
1684532657.2945807,1528000,99.5
1684532901.134606,1608000,97.5
1684533143.6448126,1688000,99.0
1684533386.5305626,1768000,99.0
1684533629.3732069,1848000,98.5
1684533872.0634544,1928000,99.0
