Wall time,Step,Value
1684552360.482566,0,0.0
1684552403.2895355,8000,0.0
1684552641.5390146,88000,3.0
1684552883.1642475,168000,31.5
1684553120.541653,248000,88.5
1684553360.6993291,328000,97.5
1684553601.331353,408000,98.5
1684553842.393623,488000,96.5
1684554084.4202085,568000,94.0
1684554326.137619,648000,98.0
1684554568.87377,728000,99.0
1684554811.6603878,808000,96.5
1684555054.5789504,888000,98.5
1684555298.1162946,968000,98.5
1684555540.314364,1048000,95.0
1684555782.4164762,1128000,99.0
1684556025.1851509,1208000,98.5
1684556267.642388,1288000,98.0
1684556511.55205,1368000,94.0
1684556754.4667795,1448000,97.5
1684556997.8221755,1528000,97.0
1684557241.6127408,1608000,97.0
1684557484.6901135,1688000,98.5
1684557728.5973914,1768000,96.0
1684557971.7029405,1848000,97.0
1684558215.5870512,1928000,96.5
